iter	Passed	Remaining
0	6	6631
1	9	4549
2	11	3735
3	13	3328
4	15	3104
5	17	2969
6	20	2917
7	24	3009
8	26	2914
9	28	2843
10	30	2764
11	32	2704
12	35	2667
13	37	2612
14	39	2580
15	41	2545
16	43	2526
17	46	2516
18	48	2500
19	50	2486
20	52	2464
21	55	2447
22	57	2431
23	59	2420
24	61	2413
25	63	2394
26	66	2388
27	68	2368
28	70	2359
29	72	2353
30	74	2340
31	77	2330
32	79	2315
33	81	2311
34	83	2294
35	85	2287
36	87	2278
37	89	2272
38	91	2261
39	93	2252
40	96	2246
41	98	2240
42	99	2224
43	102	2219
44	104	2209
45	106	2207
46	108	2197
47	110	2189
48	112	2185
49	114	2182
50	116	2174
51	118	2164
52	120	2159
53	123	2158
54	125	2153
55	127	2149
56	129	2145
57	131	2137
58	133	2127
59	135	2125
60	137	2121
61	139	2117
62	142	2112
63	143	2105
64	146	2101
65	148	2097
66	150	2092
67	152	2085
68	154	2081
69	156	2076
70	158	2072
71	160	2069
72	162	2063
73	164	2061
74	166	2058
75	168	2053
76	171	2052
77	173	2047
78	175	2044
79	177	2040
80	179	2038
81	181	2033
82	183	2029
83	185	2026
84	187	2023
85	189	2016
86	191	2011
87	193	2007
88	195	2003
89	197	1997
90	199	1993
91	201	1988
92	203	1986
93	205	1983
94	207	1978
95	209	1973
96	211	1970
97	213	1968
98	215	1962
99	217	1961
100	219	1956
101	221	1952
102	223	1949
103	226	1947
104	228	1946
105	230	1942
106	232	1936
107	234	1935
108	236	1930
109	238	1926
110	240	1924
111	242	1922
112	244	1919
113	246	1915
114	248	1911
115	250	1908
116	252	1903
117	254	1901
118	256	1896
119	258	1893
120	260	1892
121	262	1889
122	264	1885
123	266	1882
124	268	1879
125	270	1879
126	272	1875
127	274	1872
128	276	1868
129	278	1865
130	280	1863
131	283	1861
132	285	1859
133	287	1856
134	289	1852
135	291	1848
136	292	1844
137	294	1842
138	296	1838
139	298	1834
140	300	1832
141	303	1831
142	304	1826
143	306	1823
144	308	1819
145	310	1817
146	312	1813
147	314	1812
148	316	1808
149	318	1805
150	320	1801
151	322	1800
152	324	1796
153	326	1795
154	328	1792
155	330	1789
156	332	1785
157	334	1784
158	336	1781
159	338	1778
160	340	1775
161	342	1773
162	344	1769
163	346	1768
164	348	1766
165	351	1765
166	353	1761
167	355	1760
168	357	1756
169	359	1753
170	360	1749
171	362	1746
172	364	1743
173	366	1740
174	368	1737
175	370	1734
176	372	1731
177	374	1729
178	376	1727
179	378	1725
180	380	1722
181	382	1721
182	385	1720
183	387	1716
184	389	1715
185	391	1713
186	393	1711
187	395	1709
188	397	1707
189	399	1704
190	401	1701
191	403	1698
192	405	1695
193	407	1693
194	410	1693
195	411	1690
196	413	1686
197	415	1684
198	417	1681
199	419	1678
200	421	1675
201	423	1672
202	425	1670
203	427	1667
204	429	1665
205	431	1662
206	433	1660
207	435	1657
208	437	1654
209	439	1652
210	441	1650
211	443	1646
212	444	1644
213	446	1641
214	448	1637
215	450	1636
216	452	1634
217	454	1631
218	456	1629
219	459	1627
220	461	1625
221	463	1623
222	465	1621
223	467	1619
224	469	1616
225	471	1614
226	473	1613
227	475	1610
228	477	1608
229	479	1605
230	481	1603
231	483	1601
232	485	1598
233	487	1597
234	489	1594
235	492	1592
236	494	1591
237	496	1588
238	498	1586
239	500	1585
240	502	1582
241	504	1580
242	506	1577
243	508	1575
244	510	1573
245	513	1572
246	515	1570
247	517	1569
248	519	1567
249	521	1564
250	523	1562
251	525	1559
252	527	1557
253	529	1554
254	531	1553
255	533	1551
256	535	1548
257	537	1545
258	539	1544
259	541	1541
260	543	1539
261	545	1537
262	547	1535
263	549	1533
264	552	1531
265	554	1529
266	556	1528
267	558	1526
268	560	1523
269	562	1521
270	565	1519
271	566	1517
272	568	1514
273	571	1513
274	573	1511
275	575	1508
276	577	1506
277	579	1503
278	581	1501
279	582	1498
280	584	1496
281	586	1494
282	589	1493
283	591	1490
284	593	1488
285	595	1485
286	597	1483
287	598	1480
288	600	1478
289	602	1476
290	605	1474
291	606	1471
292	609	1469
293	610	1467
294	613	1465
295	615	1462
296	617	1462
297	619	1459
298	621	1457
299	623	1455
300	625	1452
301	627	1450
302	629	1448
303	631	1446
304	633	1444
305	635	1441
306	637	1439
307	639	1436
308	641	1434
309	643	1431
310	645	1431
311	647	1428
312	649	1425
313	651	1423
314	653	1420
