iter	Passed	Remaining
0	5	5373
1	9	4798
2	14	4690
3	18	4611
4	22	4447
5	25	4279
6	29	4128
7	32	4001
8	35	3882
9	38	3810
10	41	3757
11	45	3710
12	47	3632
13	51	3596
14	54	3575
15	57	3544
16	60	3524
17	64	3497
18	67	3472
19	70	3475
20	74	3455
21	76	3419
22	80	3398
23	83	3383
24	86	3367
25	89	3351
26	92	3339
27	95	3321
28	98	3311
29	101	3282
30	104	3265
31	107	3255
32	110	3237
33	113	3228
34	117	3227
35	120	3214
36	123	3210
37	126	3208
38	129	3200
39	132	3184
40	135	3178
41	139	3173
42	142	3170
43	145	3156
44	148	3145
45	150	3128
46	153	3117
47	156	3104
48	159	3093
49	162	3087
50	165	3079
51	168	3069
52	171	3061
53	174	3051
54	176	3041
55	180	3037
56	183	3030
57	186	3022
58	189	3017
59	192	3012
60	195	3006
61	198	3000
62	201	2992
63	204	2987
64	207	2988
65	211	2992
66	214	2990
67	219	3012
68	224	3023
69	228	3031
70	232	3041
71	237	3060
72	241	3063
73	245	3069
74	249	3074
75	252	3069
76	255	3060
77	258	3054
78	261	3052
79	264	3044
80	267	3039
81	270	3032
82	273	3026
83	277	3022
84	279	3008
85	282	3002
86	286	3004
87	289	2999
88	292	2992
89	295	2986
90	298	2978
91	301	2974
92	303	2959
93	306	2953
94	309	2950
95	312	2943
96	315	2936
97	318	2931
98	321	2923
99	324	2918
100	327	2914
101	330	2910
102	333	2907
103	336	2901
104	339	2896
105	342	2891
106	345	2884
107	348	2881
108	351	2872
109	354	2868
110	358	2869
111	361	2862
112	363	2857
113	366	2850
114	369	2844
115	372	2838
116	375	2835
117	378	2830
118	381	2822
119	384	2820
120	387	2815
121	390	2813
122	394	2812
123	398	2812
124	401	2811
125	405	2810
126	409	2812
127	412	2809
128	415	2805
129	418	2801
130	421	2798
131	424	2794
132	427	2789
133	430	2783
134	433	2779
135	436	2775
136	439	2768
137	442	2763
138	445	2759
139	448	2755
140	451	2750
141	454	2748
142	458	2749
143	462	2749
144	466	2753
145	470	2751
146	474	2750
147	478	2753
148	481	2752
149	485	2750
150	488	2746
151	491	2743
152	494	2739
153	498	2737
154	501	2733
155	504	2730
156	507	2725
157	510	2722
158	514	2719
159	517	2715
160	520	2710
161	523	2706
162	526	2702
163	529	2700
164	532	2695
165	535	2691
166	539	2688
167	542	2684
168	545	2680
169	548	2676
170	551	2672
171	554	2667
172	556	2661
173	560	2658
174	563	2655
175	566	2651
176	569	2646
177	572	2642
178	575	2639
179	578	2635
180	581	2632
181	584	2627
182	587	2623
183	590	2619
184	593	2616
185	596	2612
186	600	2609
187	603	2606
188	606	2603
189	609	2599
190	613	2596
191	616	2592
192	619	2589
193	622	2584
194	625	2580
195	628	2577
196	631	2573
197	634	2568
198	637	2565
199	640	2563
200	643	2559
201	646	2554
202	649	2550
203	652	2547
204	656	2544
205	659	2540
206	662	2538
207	665	2534
208	668	2530
209	671	2526
210	674	2523
211	677	2519
212	680	2515
213	683	2511
214	686	2507
215	689	2503
216	693	2500
217	696	2497
218	699	2493
219	702	2490
220	705	2486
221	708	2482
222	711	2479
223	714	2475
224	717	2472
225	720	2467
226	723	2463
227	726	2460
228	729	2456
229	732	2452
230	735	2449
231	738	2445
232	741	2441
233	744	2436
234	747	2433
235	750	2430
236	753	2426
237	756	2422
238	759	2418
239	762	2414
240	765	2410
241	768	2406
242	771	2403
243	774	2399
244	777	2395
245	780	2391
246	783	2387
247	786	2383
248	789	2380
249	792	2377
250	795	2374
251	798	2370
252	801	2366
253	804	2363
254	808	2362
255	811	2358
256	814	2355
257	817	2351
258	820	2348
259	823	2345
260	826	2341
261	829	2337
262	833	2334
263	836	2330
264	839	2327
265	841	2323
266	845	2319
267	848	2316
268	850	2312
269	853	2308
270	856	2304
271	859	2300
272	862	2297
273	865	2293
274	868	2289
275	871	2285
276	874	2281
277	877	2278
278	880	2274
279	882	2270
280	885	2266
281	888	2262
282	891	2258
283	894	2255
284	897	2251
285	900	2247
286	903	2243
287	906	2240
288	909	2236
289	912	2233
290	915	2229
291	918	2225
292	920	2222
293	923	2218
294	926	2214
295	929	2210
296	932	2206
297	935	2202
298	937	2198
299	940	2194
300	943	2191
301	946	2187
302	949	2183
303	952	2180
304	955	2176
305	957	2172
306	960	2168
307	963	2164
308	966	2161
309	969	2157
310	972	2153
311	974	2149
312	977	2146
313	980	2142
314	983	2139
315	986	2135
316	989	2132
317	992	2128
318	995	2125
319	998	2121
320	1001	2118
321	1004	2115
322	1007	2111
323	1010	2108
324	1013	2105
325	1016	2101
326	1019	2097
327	1022	2093
328	1024	2090
329	1027	2086
330	1030	2082
331	1033	2079
332	1036	2075
333	1039	2071
334	1041	2068
335	1044	2064
336	1047	2060
337	1050	2058
338	1053	2054
339	1056	2050
340	1059	2046
341	1061	2043
342	1064	2039
343	1067	2036
344	1070	2033
345	1074	2030
346	1077	2027
347	1080	2024
348	1083	2021
349	1086	2017
350	1089	2013
351	1091	2010
352	1095	2006
353	1098	2003
354	1100	2000
355	1104	1997
356	1106	1993
357	1109	1990
358	1112	1986
359	1115	1983
360	1118	1980
361	1121	1976
362	1124	1973
363	1127	1970
364	1131	1967
365	1134	1964
366	1137	1962
367	1140	1958
368	1143	1955
